Restaurant;Adresse;Rubrik;Preisspanne;Google_Maps;Website
Doyum Restaurant;Admiralstraße 36, 10999 Berlin;lunch, dinner;€€;https://www.google.com/maps/search/?api=1&query=Doyum%20Restaurant%2C%20Admiralstra%C3%9Fe%2036%2C%2010999%20Berlin;
Engelsbecken;Witzlebenstraße 31, 14057 Berlin;dinner;€€;https://www.google.com/maps/search/?api=1&query=Engelsbecken%2C%20Witzlebenstra%C3%9Fe%2031%2C%2014057%20Berlin;https://www.engelsbecken.de
Enoiteca Il Calice;Walter-Benjamin-Platz 4, 10629 Berlin;dinner, lunch;€€€;https://www.google.com/maps/search/?api=1&query=Enoiteca%20Il%20Calice%2C%20Walter-Benjamin-Platz%204%2C%2010629%20Berlin;https://enoiteca-il-calice.de
Estelle;Kopenhagener Str. 12A, 10437 Berlin;dinner, lunch;€€;https://www.google.com/maps/search/?api=1&query=Estelle%2C%20Kopenhagener%20Str.%2012A%2C%2010437%20Berlin;https://estelle-berlin.com
Father Carpenter;Münzstr 21, 10178 Berlin;breakfast, coffee;€€;https://www.google.com/maps/search/?api=1&query=Father%20Carpenter%2C%20M%C3%BCnzstr%2021%2C%2010178%20Berlin;https://www.fathercarpenter.com
File Asto;Kollwitzstraße 26, 10405 Berlin;dinner;€€;https://www.google.com/maps/search/?api=1&query=File%20Asto%2C%20Kollwitzstra%C3%9Fe%2026%2C%2010405%20Berlin;
Five Elephant;Reichenberger Str. 101, 10999 Berlin;coffee, sweets;€;https://www.google.com/maps/search/?api=1&query=Five%20Elephant%2C%20Reichenberger%20Str.%20101%2C%2010999%20Berlin;https://www.fiveelephant.com
Fourty Years Kitchen;Schliemannstraße 21, 10437 Berlin;lunch, dinner;€€;https://www.google.com/maps/search/?api=1&query=Fourty%20Years%20Kitchen%2C%20Schliemannstra%C3%9Fe%2021%2C%2010437%20Berlin;
Frau Mittenmang;Rodenbergstr. 37, 10439 Berlin;dinner;€€€;https://www.google.com/maps/search/?api=1&query=Frau%20Mittenmang%2C%20Rodenbergstr.%2037%2C%2010439%20Berlin;
Freundschaft;Mittelstraße 1, 10117 Berlin;dinner;€€€;https://www.google.com/maps/search/?api=1&query=Freundschaft%2C%20Mittelstra%C3%9Fe%201%2C%2010117%20Berlin;
Frühstück 3000;Bülowstraße 101, 10783 Berlin;breakfast, lunch;€€€;https://www.google.com/maps/search/?api=1&query=Fr%C3%BChst%C3%BCck%203000%2C%20B%C3%BClowstra%C3%9Fe%20101%2C%2010783%20Berlin;https://fruehstueck3000.com
Fukagawa Ramen;Wörtherstr. 22, 10405 Berlin;lunch, dinner;€€;https://www.google.com/maps/search/?api=1&query=Fukagawa%20Ramen%2C%20W%C3%B6rtherstr.%2022%2C%2010405%20Berlin;https://fukagawa.de
Gazzo;Hobrechtstrasse 57, 12047 Berlin;lunch, dinner;€€;https://www.google.com/maps/search/?api=1&query=Gazzo%2C%20Hobrechtstrasse%2057%2C%2012047%20Berlin;
GEMELLO;Lettestr. 6A, 10437 Berlin;dinner;€€;https://www.google.com/maps/search/?api=1&query=GEMELLO%2C%20Lettestr.%206A%2C%2010437%20Berlin;
Gingi's Izakaya;Rykestr. 45, 10405 Berlin;dinner;€€€;https://www.google.com/maps/search/?api=1&query=Gingi%27s%20Izakaya%2C%20Rykestr.%2045%2C%2010405%20Berlin;
Gnam Pasta Factory;Kottbusser Damm 6, 10967 Berlin;lunch, dinner;€€;https://www.google.com/maps/search/?api=1&query=Gnam%20Pasta%20Factory%2C%20Kottbusser%20Damm%206%2C%2010967%20Berlin;
goldies;Oranienstr. 6, 10997 Berlin;lunch, dinner;€€;https://www.google.com/maps/search/?api=1&query=goldies%2C%20Oranienstr.%206%2C%2010997%20Berlin;https://www.goldies-smashburger.de
ITA Bistro;Lettestraße 9, 10437 Berlin;dinner, lunch;€€;https://www.google.com/maps/search/?api=1&query=ITA%20Bistro%2C%20Lettestra%C3%9Fe%209%2C%2010437%20Berlin;
